FID_,FIPSSTCO,TRT2000,STFID,OID_,SCTRACTW,FIPSPLACEW,CENSUSPLW,SCTRACTR,FIPSPLACER,CENSUCPLR,TRACTTOTRA,STFID_1,ID_ID,Distance
,11001,4902,11001004902,1408,51059460500,79952,1252,11001004902,50000,5,4,11001004902,7440,0.000423
,11001,4700,11001004700,2170,51059480200,79952,1252,11001004700,50000,5,30,11001004700,7530,0.001023
,11001,6001,11001006001,1414,51059460500,79952,1252,11001006001,50000,5,10,11001006001,7620,0.000074
,11001,7302,11001007302,1419,51059460500,79952,1252,11001007302,50000,5,10,11001007302,7648,0.004311
,11001,7301,11001007301,276,51059471200,79952,1252,11001007301,50000,5,4,11001007301,7652,0.012295
,11001,9807,11001009807,1430,51059460500,79952,1252,11001009807,50000,5,10,11001009807,7652,0.003333
,11001,9808,11001009808,764,51059460400,79952,1252,11001009808,50000,5,4,11001009808,7669,0.004069
,11001,2202,11001002202,266,51059471200,79952,1252,11001002202,50000,5,4,11001002202,7700,0.000837
,11001,9509,11001009509,283,51059471200,79952,1252,11001009509,50000,5,4,11001009509,7701,0.0016
,11001,9503,11001009503,1235,51059460500,23984,423,11001009503,50000,5,10,11001009503,7711,0.000088
,11001,8702,11001008702,760,51059460400,79952,1252,11001008702,50000,5,4,11001008702,7744,0.004298
,11001,9204,11001009204,762,51059460400,79952,1252,11001009204,50000,5,15,11001009204,7747,0.00286
,11001,9301,11001009301,1428,51059460500,79952,1252,11001009301,50000,5,4,11001009301,7751,0.00593
,11001,9302,11001009302,2206,51059480200,79952,1252,11001009302,50000,5,15,11001009302,7760,0.002064
,11001,9400,11001009400,282,51059471200,79952,1252,11001009400,50000,5,10,11001009400,7774,0.00219
,11001,9101,11001009101,2203,51059480200,79952,1252,11001009101,50000,5,4,11001009101,7815,0.001144
,11001,8500,11001008500,1426,51059460500,79952,1252,11001008500,50000,5,20,11001008500,7857,0.003053
,11001,8301,11001008301,2198,51059480200,79952,1252,11001008301,50000,5,15,11001008301,7860,0.003151
,11001,8302,11001008302,9,51059471200,48376,772,11001008302,50000,5,10,11001008302,7867,0.003942
,11001,8200,11001008200,758,51059460400,79952,1252,11001008200,50000,5,10,11001008200,7880,0.000091
,11001,6600,11001006600,1415,51059460500,79952,1252,11001006600,50000,5,4,11001006600,7888,0.000241
,11001,8100,11001008100,757,51059460400,79952,1252,11001008100,50000,5,10,11001008100,7893,0.001244
,11001,8402,11001008402,759,51059460400,79952,1252,11001008402,50000,5,4,11001008402,7901,0.001576
,11001,8802,11001008802,761,51059460400,79952,1252,11001008802,50000,5,10,11001008802,7902,0.002521
,11001,8903,11001008903,1427,51059460500,79952,1252,11001008903,50000,5,10,11001008903,7917,0.002656
,11001,7901,11001007901,278,51059471200,79952,1252,11001007901,50000,5,15,11001007901,7920,0.00301
,11001,6700,11001006700,754,51059460400,79952,1252,11001006700,50000,5,20,11001006700,7925,0.000025
,11001,8002,11001008002,279,51059471200,79952,1252,11001008002,50000,5,10,11001008002,7935,0.001059
,11001,6900,11001006900,274,51059471200,79952,1252,11001006900,50000,5,4,11001006900,7977,0.002386
,11001,8904,11001008904,281,51059471200,79952,1252,11001008904,50000,5,4,11001008904,8012,0.002346
,11001,6804,11001006804,755,51059460400,79952,1252,11001006804,50000,5,70,11001006804,8024,0.000372
,11001,7601,11001007601,2188,51059480200,79952,1252,11001007601,50000,5,10,11001007601,8051,0.001686
,11001,7605,11001007605,277,51059471200,79952,1252,11001007605,50000,5,4,11001007605,8051,0.008596
,11001,7604,11001007604,1421,51059460500,79952,1252,11001007604,50000,5,10,11001007604,8077,0.004037
,11001,7304,11001007304,2184,51059480200,79952,1252,11001007304,50000,5,15,11001007304,8096,0.01187
,11001,9806,11001009806,1236,51059460500,23984,423,11001009806,50000,5,10,11001009806,8097,0.004648
,11001,7404,11001007404,2185,51059480200,79952,1252,11001007404,50000,5,4,11001007404,8099,0.003134
,11001,7504,11001007504,2187,51059480200,79952,1252,11001007504,50000,5,15,11001007504,8099,0.006842
,11001,7408,11001007408,2186,51059480200,79952,1252,11001007408,50000,5,10,11001007408,8101,0.002077
,11001,7409,11001007409,1420,51059460500,79952,1252,11001007409,50000,5,10,11001007409,8101,0.006102
,24033,801807,24033801807,386,51059471200,79952,1252,24033801807,38975,495,20,24033801807,8102,0.012771
,11001,9603,11001009603,2209,51059480200,79952,1252,11001009603,50000,5,10,11001009603,8121,0.00205
,11001,7803,11001007803,1422,51059460500,79952,1252,11001007803,50000,5,4,11001007803,8126,0.003285
,11001,7809,11001007809,2192,51059480200,79952,1252,11001007809,50000,5,4,11001007809,8127,0.008067
,11001,9906,11001009906,2212,51059480200,79952,1252,11001009906,50000,5,10,11001009906,8138,0.001769
,11001,9904,11001009904,2211,51059480200,79952,1252,11001009904,50000,5,10,11001009904,8143,0.00448
,11001,9902,11001009902,1431,51059460500,79952,1252,11001009902,50000,5,4,11001009902,8150,0.008075
,11001,7808,11001007808,2191,51059480200,79952,1252,11001007808,50000,5,4,11001007808,8157,0.002954
,11001,6500,11001006500,2179,51059480200,79952,1252,11001006500,50000,5,30,11001006500,8180,0.0029
,11001,7000,11001007000,8,51059471200,48376,772,11001007000,50000,5,4,11001007000,8199,0.00208
,11001,5900,11001005900,1234,51059460500,23984,423,11001005900,50000,5,10,11001005900,8266,0.000129
,11001,502,11001000502,1388,51059460500,79952,1252,11001000502,50000,5,15,11001000502,8297,0.00447
,11001,7100,11001007100,275,51059471200,79952,1252,11001007100,50000,5,4,11001007100,8313,0.000093
,11001,8001,11001008001,1423,51059460500,79952,1252,11001008001,50000,5,4,11001008001,8343,0.004019
,11001,802,11001000802,262,51059471200,79952,1252,11001000802,50000,5,4,11001000802,8358,0.003653
,11001,7709,11001007709,2190,51059480200,79952,1252,11001007709,50000,5,15,11001007709,8370,0.000411
,24003,740500,24003740500,774,51059460400,79952,1252,24003740500,99999,9999,35,24003740500,41262,0.002076
,24003,740104,24003740104,2244,51059480200,79952,1252,24003740104,71150,884,15,24003740104,41329,0.009638
,24003,750400,24003750400,1237,51059460500,23984,423,24003750400,47125,577,4,24003750400,41450,0.002927
,24003,750801,24003750801,2252,51059480200,79952,1252,24003750801,28075,344,4,24003750801,41561,0.002187
,24003,730503,24003730503,2236,51059480200,79952,1252,24003730503,73550,922,10,24003730503,41741,0.005573
,24003,708000,24003708000,2235,51059480200,79952,1252,24003708000,99999,9999,4,24003708000,42038,0.002108
,24003,730604,24003730604,1445,51059460500,79952,1252,24003730604,71200,885,10,24003730604,42174,0.016909
,24003,730700,24003730700,2239,51059480200,79952,1252,24003730700,71200,885,4,24003730700,42194,0.012267
